400,412,444,490,510,560,620,666,674,682,710,754,780,866
0.0041708,0.0043365,0.0044726,0.0033592,0.0016906,0.0007454,0.0001239,6.52e-05,6.1e-05,5.64e-05,2.69e-05,7.4e-06,8.4e-06,2.8e-06
0.0026823,0.0024629,0.0022858,0.0028334,0.0028867,0.0021504,0.0007171,0.0004164,0.0003884,0.0003724,0.0002254,7.02e-05,8.17e-05,3.27e-05
0.004288,0.0044431,0.0050867,0.0072377,0.008918,0.0109993,0.004967,0.0031077,0.0029189,0.002868,0.0018364,0.0005693,0.0007007,0.0002819
3.04e-05,3.63e-05,6.29e-05,0.0001378,0.0001857,0.0003543,0.0007116,0.0009131,0.0008869,0.0009371,0.0012263,0.000566,0.0006928,0.0003091
0.0119063,0.0120304,0.0130191,0.0167585,0.0143639,0.0103156,0.0024813,0.0014616,0.0013809,0.0013189,0.0007096,0.000216,0.0002574,0.0001012
0.0025174,0.0025228,0.0028387,0.0050606,0.0075614,0.0158768,0.0118261,0.008511,0.0069232,0.0074286,0.0220888,0.0108041,0.0125482,0.0053101
0.0106798,0.0096109,0.0069813,0.0047628,0.0024989,0.0012137,0.0002129,0.0001194,0.0001128,0.000106,5.16e-05,1.47e-05,1.8e-05,6.3e-06
0.0086336,0.0086861,0.0095694,0.0153518,0.0200474,0.026465,0.0190993,0.0112396,0.0099426,0.0100967,0.0086692,0.0025982,0.0030822,0.001196
0.0061017,0.0067437,0.0087944,0.0135679,0.0165487,0.0239576,0.0287407,0.0261465,0.0246193,0.0250746,0.0259659,0.013,0.0151499,0.0071332
0.0021119,0.0020311,0.0020272,0.0031355,0.0043933,0.0081196,0.0056503,0.0030949,0.002577,0.0027895,0.0040503,0.0012835,0.0016308,0.000607
